[2024-08-20 13:42:39.236]	     | Already up to date.
[2024-08-20 13:42:39.236]	     | Already up to date.
[2024-08-20 13:42:39.256]	   "tmux-resurrect" update success
[2024-08-20 13:42:39.258]	     | Already up to date.
[2024-08-20 13:42:39.269]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-08-20 13:42:39.318]	 Done.

[2024-08-20 13:44:40.563]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 13:44:40.573]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 13:44:40.794]	 Installing "tags"
[2024-08-20 13:44:40.802]	 Already installed "tmux-copycat"
[2024-08-20 13:44:40.802]	 Already installed "tmux-resurrect"
[2024-08-20 13:44:40.802]	 Already installed "tmux-continuum"
[2024-08-20 13:44:41.191]	   "tags" download fail
[2024-08-20 13:44:41.228]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-08-20 13:44:41.460]	 Updating all plugins!
[2024-08-20 13:44:41.461]	 
[2024-08-20 13:44:42.421]	   "tmux-copycat" update success
[2024-08-20 13:44:42.421]	   "tmux-continuum" update success
[2024-08-20 13:44:42.423]	     | Already up to date.
[2024-08-20 13:44:42.423]	     | Already up to date.
[2024-08-20 13:44:42.444]	   "tmux-resurrect" update success
[2024-08-20 13:44:42.446]	     | Already up to date.
[2024-08-20 13:44:42.457]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-08-20 13:44:42.506]	 Done.

[2024-08-20 13:44:56.808]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum tags
[2024-08-20 13:44:56.819]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/install_plugins
[2024-08-20 13:44:57.043]	 Installing "tags"
[2024-08-20 13:44:57.050]	 Already installed "tmux-copycat"
[2024-08-20 13:44:57.051]	 Already installed "tmux-resurrect"
[2024-08-20 13:44:57.051]	 Already installed "tmux-continuum"
[2024-08-20 13:44:57.145]	   "tags" download fail
[2024-08-20 13:44:57.159]	 Invoking /Users/mekari/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-08-20 13:44:57.354]	 Updating all plugins!
[2024-08-20 13:44:57.354]	 
[2024-08-20 13:44:58.135]	   "tmux-copycat" update success
[2024-08-20 13:44:58.137]	     | Already up to date.
[2024-08-20 13:44:58.148]	   "tmux-continuum" update success
[2024-08-20 13:44:58.150]	     | Already up to date.
